RA,DEC
16.1455,-47.1462
89.8166,-44.6752
49.2743,-55.7322
65.5314,-45.5704
3.67729,-51.9666
9.71782,-49.3922
48.0789,-54.5390
317.133,-57.7185
1.51440,-40.9865
75.0210,-52.0244
32.4833,-42.4408
17.2115,-54.3507
321.224,1.03794
353.288,-54.4788
357.169,0.951331
354.438,-0.951712
2.69263,-1.74266
334.789,-50.3586
30.1701,-51.4063
34.5860,-45.1428
19.9458,-42.1168
317.287,-52.5707
343.615,-54.8577
0.737153,-54.2368
43.1711,-57.1619
13.8770,-53.7125
21.1823,-48.6504
75.2730,-55.3981
44.7715,-51.9496
71.0025,-62.7847
318.997,1.54192
67.0771,-52.9406
58.1977,-64.7601
354.915,-55.7488
64.3241,-55.2903
68.3090,-53.7388
80.0165,-60.1934
42.8048,-47.0512
33.1945,-55.2350
310.149,-53.0183
309.549,-58.8451
336.943,-55.5127
85.7052,-45.3175
79.0499,-44.7619
48.2316,-42.6907
27.7063,-54.7711
356.365,-43.8626
22.7706,-48.4915
84.8946,-57.7503
346.314,-1.08235
76.7842,-53.1628
92.5829,-42.9468
304.006,-52.3293
6.70618,-53.8142
16.6449,-45.2914
78.4921,-47.9682
94.2053,-41.4720
337.331,-51.0424
24.9960,-41.5288
16.3284,-57.7511
42.5126,-53.0156
303.096,-51.5280
77.5637,-44.8803
54.4445,-50.3499
92.7605,-46.2186
347.356,-46.3422
5.60850,-40.6157
61.6946,-57.4766
334.325,0.724687
351.845,-50.3787
53.6735,-52.7381
28.9570,-41.7188
334.911,-56.0910
24.8127,-55.0187
44.6435,-50.3592
313.536,-58.8206
323.696,1.58561
13.1176,-48.1377
91.1733,-57.1737
70.6055,-56.7232
328.115,-1.49765
23.3386,-46.8078
65.4230,-57.8316
33.1854,-40.4319
12.4610,-51.3439
351.098,-48.1883
328.843,-57.5765
28.5150,-52.0401
60.5313,-66.3699
60.0516,-43.4117
38.1489,-47.2564
328.067,0.937320
48.3886,-48.0323
307.020,-53.8426
91.2589,-57.2752
52.5938,-47.9571
345.243,-58.3735
91.6283,-49.0458
15.4344,-45.4206
348.397,0.417438
337.071,1.22187
331.584,0.354347
84.2378,-47.1248
66.8719,-44.5733
40.8060,-55.0921
87.5099,-48.4170
335.365,-0.779544
55.7337,-47.1671
337.092,-0.282272
46.3720,-45.0381
48.2065,-57.8084
353.937,-52.5294
19.7103,-52.6749
41.5596,-59.9029
348.347,-0.776135
56.8848,-58.1152
59.3382,-46.0926
339.523,-58.4289
86.0204,-42.6819
307.181,-57.2891
11.9505,-44.9330
58.4989,-45.5799
313.155,-52.5615
25.2843,-47.1184
75.1488,-58.8875
312.400,-54.8187
352.343,-1.63911
33.0682,-43.0826
67.5172,-40.9001
