RA,DEC
88.6141,-50.5480
78.8622,-58.4814
68.4424,-40.3473
94.3346,-51.5647
21.9622,-41.5850
20.2699,-56.7245
49.1519,-53.4110
65.3236,-64.3403
1.73942,-44.5325
77.0762,-45.8553
22.1304,-57.4268
344.896,-41.1667
352.577,-0.0374470
354.506,-55.6173
81.2738,-61.9260
30.9930,-55.5433
60.1145,-41.6684
63.9204,-43.0765
23.9206,-43.7546
95.2362,-60.2054
310.725,-58.9016
323.264,0.576202
28.5070,-44.9707
345.472,-41.5726
322.569,-51.7690
20.2938,-47.9320
89.4985,-40.7623
17.0323,-51.6861
55.7568,-48.6570
87.8736,-55.0050
85.8248,-52.3649
354.029,0.653568
342.227,-0.491349
348.212,-54.4202
51.6091,-57.5545
312.345,-53.1674
329.033,-54.4614
42.2489,-43.6046
80.6969,-43.9531
3.28087,-52.4300
42.4097,-48.4218
93.3273,-55.3591
342.070,1.19929
17.5919,-50.0561
327.826,0.217714
33.3186,-51.4036
357.460,0.287122
2.70854,-42.7133
336.336,-0.897423
67.2930,-47.1251
33.3713,-51.7879
87.9851,-54.2008
46.4498,-57.7930
21.2845,-41.1844
354.661,-0.508576
327.398,1.47539
25.9422,-46.2112
26.2889,-50.3660
69.7852,-64.7682
333.114,1.26065
330.497,0.0429110
1.85478,-43.6476
80.5550,-48.3507
318.064,-53.0328
82.9065,-44.7158
354.678,-55.9261
86.3377,-43.4350
352.988,1.04203
26.2889,-50.3660
28.5887,-50.8479
3.51748,-0.853321
342.529,0.761031
354.449,-53.9198
19.8394,-56.8872
72.8132,-49.6187
331.722,1.06178
85.6490,-60.6011
95.3814,-51.1226
336.144,1.64098
14.0429,-49.3433
328.278,0.888319
56.6349,-65.4120
322.873,-55.9493
316.291,-57.9641
342.440,-45.5186
16.6572,-53.1218
339.497,-43.9966
50.7116,-52.9052
303.598,-50.6265
18.5792,-41.5569
18.5537,-48.2847
98.5547,-57.3994
19.7852,-53.7528
29.8557,-45.8668
79.0098,-56.7119
357.433,-53.5491
1.75918,-55.1129
17.9973,-43.9567
350.626,-50.2735
346.331,-59.0351
