RA,DEC
7.80250,-41.0844
92.4993,-46.4487
318.653,-50.8923
327.224,-1.55235
45.0499,-51.6237
66.4958,-61.9956
328.976,-53.5252
36.9070,-54.8860
36.9595,-46.3957
30.5352,-48.4464
40.8067,-54.8980
21.6404,-55.2581
310.286,-57.0583
340.648,-0.598977
35.4713,-56.7048
94.0636,-40.6595
63.3301,-51.8601
3.04012,2.27922
60.1995,-55.9029
73.7299,-49.5740
14.2332,-40.6060
58.5845,-62.4330
85.9935,-42.3183
337.966,-59.0790
339.779,-44.5299
77.0919,-45.7831
342.784,-51.6690
325.081,-0.895405
63.2862,-56.1282
311.941,-52.3518
346.569,-53.5097
350.077,-54.3806
88.0723,-49.5539
71.6434,-44.5842
50.2733,-57.5291
60.8579,-48.6108
11.3186,-48.9152
60.4085,-42.8785
35.5420,-41.4207
21.3143,-56.1999
337.348,-1.23168
54.5068,-52.2702
348.941,-57.3178
78.7046,-58.0135
354.616,-0.183879
22.4046,-48.3146
342.988,0.364920
50.8964,-49.2103
93.6600,-45.5142
340.772,-53.5417
43.0314,-52.8514
343.222,-45.1781
344.703,-41.2259
21.4126,-55.2120
12.9265,-53.6976
316.911,-53.1653
76.0506,-47.0717
93.5275,-52.3770
79.1524,-56.7780
68.7888,-60.3932
8.56885,-52.9543
10.8754,-49.5720
89.4517,-60.7141
46.9313,-54.1035
76.8844,-52.2093
48.5147,-46.4945
25.2370,-44.4784
333.082,-52.9708
3.64614,-43.7310
72.6328,-49.4391
17.9212,-44.5176
340.781,-51.6957
42.4378,-60.0816
347.118,-57.2335
80.4641,-57.6421
57.2467,-52.1576
87.7530,-40.2311
328.703,-1.74182
95.3566,-43.9042
355.972,-44.4051
66.7697,-51.6020
74.9751,-47.5686
82.3434,-59.4460
7.57374,-56.3844
83.8253,-48.9309
23.3100,-50.6884
76.8780,-61.8796
58.6718,-55.6767
33.6564,-40.6928
310.823,-57.8542
52.5468,-50.1395
330.026,-50.8930
95.4876,-55.2928
81.9278,-44.6285
94.3696,-46.3563
30.5231,-52.9422
13.7834,-41.4287
86.7634,-42.5882
1.28552,-54.7932
50.5823,-41.3727
12.9176,-43.0987
332.979,1.40874
303.297,-56.6556
353.789,-52.3070
29.6281,-59.4553
91.6060,-56.0115
71.3638,-40.5444
66.8868,-55.1950
26.2214,-58.8539
54.6560,-53.2595
51.1890,-52.9740
9.69510,-45.1874
47.9713,-59.2857
356.885,-0.122131
72.9658,-48.8179
300.235,-55.8482
11.7225,-54.4878
53.8713,-46.3762
347.768,0.342266
320.207,0.0725260
40.6753,-50.2061
308.241,-55.3070
8.85565,-52.6312
53.6905,-56.8292
324.356,-1.31085
97.1703,-60.4503
38.4768,-54.1132
356.247,-49.8569
319.319,0.466487
344.031,-45.2957
75.4844,-43.8586
49.8236,-50.6495
309.839,-57.7829
38.9849,-55.7346
331.160,-56.5542
10.2658,-52.5906
33.7975,-53.8009
1.70237,-52.9734
28.6252,-53.5396
96.6818,-59.5579
347.495,-1.66699
56.5230,-52.7946
45.8708,-52.2055
344.252,-0.452527
322.769,-52.1920
41.6424,-56.6037
72.5954,-45.4920
22.1104,-55.9456
73.4454,-62.2432
58.1803,-58.0666
6.16906,-56.2460
95.8602,-55.8945
43.7543,-46.0364
352.016,-57.3623
347.948,-46.8501
319.901,-57.5504
355.713,-1.39849
5.97056,-46.9949
346.950,0.370263
357.164,0.214336
68.0894,-52.4507
56.8776,-52.2812
348.245,-56.6934
66.3201,-58.2664
19.2734,-42.1601
45.8534,-58.8625
64.5740,-59.6935
73.9098,-53.5326
35.6550,-51.3253
81.7457,-44.9182
76.9263,-60.7978
79.5456,-51.7086
73.2928,-41.2008
40.1315,-58.0383
0.578572,-43.1778
14.6765,-41.5401
326.039,-0.391768
12.7429,-50.4472
84.7183,-41.3995
47.5282,-57.1496
17.2160,-49.6989
306.607,-54.8355
303.770,-58.8468
341.764,-42.0683
45.8844,-54.7583
315.276,-57.2656
71.2398,-45.4276
73.0413,-47.5114
33.6621,-43.7579
316.418,-50.3135
343.811,-1.15976
318.601,-52.8267
50.0948,-50.7292
40.1145,-49.3368
344.000,-58.0805
78.8039,-40.8940
28.5887,-51.0928
57.1575,-54.0991
313.591,-59.0608
60.4934,-49.3089
81.0143,-57.8747
323.806,-59.1281
90.5021,-61.7107
20.1229,-48.3206
8.94719,-49.6808
343.641,-43.9773
7.59135,-41.5656
62.8640,-55.9853
33.5379,-44.8530
15.4510,-44.8408
356.322,1.20170
28.6213,-55.0940
79.2643,-53.2370
0.232955,-51.5190
83.8072,-47.9735
347.668,-49.2545
347.766,-45.7852
42.8031,-48.6394
332.856,-57.0071
84.9910,-51.4190
47.4480,-52.8192
330.222,-53.1710
326.261,-56.3256
321.327,-59.1690
356.626,0.162584
3.67977,-44.5512
71.5965,-40.3826
327.707,-0.493188
304.286,-52.3849
59.8689,-42.3053
67.9403,-53.1430
95.1450,-46.1831
49.6068,-40.8322
355.421,-43.4205
19.9697,-47.2836
307.164,-55.5797
358.943,-1.04880
23.3620,-47.2264
41.3556,-51.9208
15.5146,-44.7765
341.447,-52.8901
85.5732,-51.9318
87.5756,-42.2484
57.1887,-49.0965
347.389,-1.11235
25.8052,-47.0056
9.13305,-55.9236
90.5445,-44.9171
55.2945,-43.5218
41.5766,-42.2274
48.0833,-53.6357
89.9448,-55.7599
335.135,0.792468
51.4980,-45.1676
349.861,0.909184
4.79683,-46.2084
340.272,-44.3817
80.8295,-57.5092
92.3199,-41.3194
349.427,-0.968681
44.4218,-40.9891
64.2892,-63.2136
10.6837,-55.1488
67.2600,-51.9639
70.3265,-48.3232
71.5051,-50.7182
5.11348,-56.6124
95.3511,-56.5000
358.936,-52.6019
12.7362,-49.8210
85.5714,-56.8384
33.8077,-41.2625
81.5958,-54.2813
67.2464,-54.3037
37.6438,-56.9595
20.2788,-44.6566
40.7164,-44.9428
61.2087,-42.3769
92.1076,-46.3169
321.715,-53.4259
328.871,1.03914
36.1419,-53.4478
3.35683,-56.5060
94.8143,-55.9450
337.112,-56.1380
13.5979,-59.1681
337.575,0.263746
340.804,1.16838
29.2905,-51.9986
93.1287,-51.8365
37.1358,-49.3858
79.1506,-42.9595
10.8123,-58.4151
88.4841,-48.0723
5.06822,-57.0694
68.3499,-47.3367
1.06308,0.433610
319.512,1.02856
43.1191,-46.8580
322.320,1.53648
338.891,-0.561903
78.4134,-45.0990
72.5217,-51.7531
55.4196,-48.2125
353.984,-53.9421
60.1214,-51.4114
75.1488,-58.8875
85.5686,-55.4553
66.6305,-64.0055
55.9307,-53.5540
33.5750,-53.6076
56.9549,-41.6577
87.7915,-40.6625
319.447,-56.7941
65.5182,-50.3416
21.0912,-41.1681
23.1121,-56.1510
53.8095,-44.7143
341.666,0.212344
58.3934,-45.9863
8.63988,-53.2699
48.6744,-46.0977
329.565,0.818296
39.8806,-49.7975
69.4894,-44.1039
71.3884,-41.7626
350.094,-49.3717
71.4798,-45.9103
65.4889,-54.4582
92.5676,-56.6582
88.4510,-51.8046
322.152,-56.9022
345.380,-58.4885
16.0241,-45.1729
54.9633,-40.4755
349.487,-49.9778
31.1201,-46.4808
84.5548,-60.7771
357.837,-52.5535
13.5523,-44.2009
2.35766,-43.7319
71.4986,-58.2992
85.7081,-46.9637
326.546,-53.2997
79.7592,-45.7603
95.0552,-58.0411
80.0586,-45.2022
65.6103,-40.7477
70.8013,-56.0435
37.0077,-56.4323
78.4272,-52.4473
47.3613,-48.1486
45.6160,-57.4502
77.6342,-55.3362
336.247,-58.1157
28.0460,-42.3970
358.632,0.797797
87.3210,-40.6525
3.49368,-56.6386
358.366,1.16292
25.7721,-46.5672
24.6126,-50.0497
341.175,-0.253427
29.2392,-47.0555
56.9749,-51.3081
21.0494,-47.9485
85.6611,-39.9884
334.132,1.64400
88.4051,-51.2649
67.2600,-51.9639
74.1439,-52.0322
80.8276,-46.0434
70.9762,-55.1229
346.199,-44.6810
81.4779,-42.2614
55.4396,-50.6929
64.3422,-47.8173
51.7843,-49.7925
18.0984,-43.3187
31.7942,-56.2723
0.793888,-42.4040
6.89935,-45.7460
342.934,-54.5218
94.3120,-56.3563
75.4979,-52.3952
349.479,-46.2868
319.113,-50.3969
34.6438,-51.0826
45.6327,-46.2813
337.471,0.414015
47.3446,-50.7343
15.0116,-50.4480
306.334,-59.9398
351.581,-50.8785
18.0590,-55.2987
74.0551,-61.2804
346.039,-43.1692
356.883,-49.1516
20.1515,-59.0809
38.6108,-44.7480
95.9144,-57.7777
78.1877,-47.6064
72.1936,-47.9293
32.0913,-43.1447
40.5216,-57.7096
89.7460,-45.2588
48.1725,-41.3940
62.4616,-66.5626
80.4949,-59.2974
62.6700,-45.3681
4.69411,-40.9658
28.7849,-51.5952
57.4497,-48.4140
85.1738,-51.5698
10.0825,-44.0953
21.4424,-42.3036
12.0700,-53.0995
304.616,-50.7865
46.3288,-48.9982
12.9019,-56.0512
20.3692,-45.3934
318.159,-1.75352
82.2018,-59.4859
350.128,0.568506
62.9643,-44.9479
9.73688,-42.7164
33.4375,-47.7462
323.181,-51.8036
48.0873,-49.3549
342.317,-1.18361
85.6734,-50.2506
61.1699,-48.0205
18.7588,-49.6123
304.708,-54.2115
67.5370,-57.0834
336.325,-53.9948
346.179,-1.20054
85.3968,-53.0736
66.4398,-49.2500
60.6883,-53.0824
78.1804,-39.9614
353.850,-42.4930
18.8108,-55.5007
340.684,-54.3902
318.851,0.760154
355.220,-42.3336
74.2527,-57.1244
23.4295,-55.6960
45.9863,-48.5524
77.8038,-39.9552
45.6822,-51.8691
51.2850,-51.1997
34.3146,-41.5404
346.039,-58.8613
3.13146,-46.7509
7.05706,-41.7305
46.0904,-56.6082
61.5125,-41.5473
78.6933,-43.1828
312.082,-52.2317
28.2587,-50.6078
59.9598,-41.5915
23.0555,-58.8345
43.7840,-54.1811
322.600,-57.7847
53.8118,-54.4374
22.8035,-48.9302
314.039,-57.7659
46.6170,-50.9975
343.081,-44.2270
17.1246,-46.1994
54.5502,-59.5585
343.020,-45.1487
327.864,1.52217
88.9447,-50.4858
62.7397,-44.7422
62.6282,-51.2242
22.0670,-42.9100
48.5037,-50.9075
327.862,0.240977
342.667,-58.0080
341.666,-1.45796
57.5609,-58.9794
40.7460,-50.3193
75.2354,-43.8766
6.05471,-44.3108
305.825,-58.5619
344.236,-55.8708
331.450,-52.4149
349.314,-54.9635
87.9522,-47.1745
346.480,1.00515
35.7957,-54.4543
76.6897,-49.7466
4.76504,-41.5153
356.487,-1.73032
31.5383,-49.1503
85.2105,-47.5237
67.2133,-47.4640
19.3096,-43.7472
45.9885,-51.4780
68.3025,-43.8189
87.7028,-43.2242
64.2323,-45.4916
73.2908,-44.0319
353.972,1.18932
331.893,-57.4275
63.1295,-44.6733
4.03565,-48.4062
354.803,-1.02743
343.362,-45.1052
46.7413,-51.6395
9.20987,-44.9987
6.51130,-41.6150
35.9427,-40.3409
57.6792,-47.0119
59.9088,-55.5409
29.0628,-47.7557
343.802,-50.5830
321.869,0.134779
86.1092,-55.2256
91.7124,-55.2276
335.147,-1.28843
98.1393,-48.9105
57.3949,-49.3951
24.0596,-56.4609
28.9183,-57.1450
67.2611,-50.7760
37.9256,-58.3982
72.8800,-49.5155
321.771,-55.8329
87.4495,-48.8477
90.5652,-48.1702
330.159,-1.00689
300.009,-55.5380
19.7990,-40.9823
350.124,-1.74037
357.179,-0.151013
42.0118,-50.8347
30.4503,-50.0288
63.2873,-49.8856
354.151,-55.6848
12.9810,-57.7632
309.637,-53.3024
309.086,-50.3368
85.9544,-42.2337
324.831,-1.19163
74.1764,-48.5432
50.0884,-53.7590
11.8367,-55.6823
97.0413,-59.1858
44.4110,-52.8506
57.5450,-53.5511
13.3747,-57.1864
71.2022,-53.7086
52.0900,-59.2858
341.357,-1.73331
78.6678,-58.8977
47.1667,-58.9145
334.800,0.915298
347.946,-0.307431
93.3390,-51.2734
315.089,-58.6287
74.1528,-40.3927
350.805,-58.6798
